config,run_id,hb_interval_ms,hb_timeout_ms,repl_mode,fault_type,detection_latency_ms,downtime_ms,write_latency_median_us,write_latency_p95_us,write_latency_p99_us,throughput_ops_sec,total_ops,success_ops,failed_ops,false_positives,repl_skipped_count
phi_fast_no_repl,phi_fast_no_repl_t4_1776218906904,50,150,none,crash,72,2,174.0,301.14999999999986,418.03999999999996,1.859536789385764,1200,1200,0,1,0
phi_fast_no_repl,phi_fast_no_repl_t5_1776218917121,50,150,none,crash,78,8,156.0,265.0,355.0,1.859418652758215,1200,1200,0,1,0
phi_fast_sync_repl,phi_fast_sync_repl_t1_1776218980279,50,150,sync,crash,66,4,180.0,481.1999999999998,680.04,1.8593783168597582,1200,1200,0,1,346
phi_fast_sync_repl,phi_fast_sync_repl_t2_1776218990499,50,150,sync,crash,80,7,186.0,459.04999999999995,678.02,1.8593754357911176,1200,1200,0,1,334
phi_fast_sync_repl,phi_fast_sync_repl_t3_1776219000713,50,150,sync,crash,64,0,184.0,412.14999999999986,526.2099999999998,1.8595281447332739,1200,1200,0,1,348
phi_fast_sync_repl,phi_fast_sync_repl_t4_1776219010931,50,150,sync,crash,98,3,180.0,455.04999999999995,936.2899999999997,1.8592083490849596,1200,1200,0,1,345
phi_fast_sync_repl,phi_fast_sync_repl_t5_1776219021192,50,150,sync,crash,40,2,187.5,425.0999999999999,514.05,1.8593466255957656,1200,1200,0,1,364
phi_slow_no_repl,phi_slow_no_repl_t1_1776218927340,200,600,none,crash,432,10,162.5,277.04999999999995,336.0,1.8594071280372255,1200,1200,0,1,0
phi_slow_no_repl,phi_slow_no_repl_t2_1776218937937,200,600,none,crash,436,9,168.0,271.0,327.1199999999999,1.8594301776220676,1200,1200,0,1,0
phi_slow_no_repl,phi_slow_no_repl_t3_1776218948520,200,600,none,crash,437,7,184.0,293.04999999999995,396.05999999999995,1.859401365730303,1200,1200,0,1,0
phi_slow_no_repl,phi_slow_no_repl_t4_1776218959101,200,600,none,crash,395,12,165.0,278.04999999999995,565.5599999999995,1.8593811979373265,1200,1200,0,1,0
phi_slow_no_repl,phi_slow_no_repl_t5_1776218969687,200,600,none,crash,431,9,159.5,259.04999999999995,396.7499999999993,1.8594100092040795,1200,1200,0,1,0
quick_no_repl,quick_no_repl_t1_1774995126583,100,300,none,crash,215,3,183.5,303.54999999999995,351.05,42.844901456726646,100,100,0,0,0
quick_no_repl,quick_no_repl_t2_1774995133157,100,300,none,crash,203,18,164.0,247.45,329.92000000000047,42.19409282700422,100,100,0,0,0
quick_sync_repl,quick_sync_repl_t1_1774995139512,100,300,sync,crash,200,16,228.0,508.05,560.1500000000001,42.034468263976464,100,100,0,0,3
quick_sync_repl,quick_sync_repl_t2_1774995145879,100,300,sync,crash,190,5,239.5,493.05,537.6900000000004,42.42681374628765,100,100,0,0,2
zipf_fast_async,zipf_fast_async_t1_1776219451316,50,150,async,crash,141,1,137.0,242.0,360.1200000000026,6.4141710418885465,4800,4800,0,1,1305
zipf_fast_async,zipf_fast_async_t2_1776219461643,50,150,async,crash,99,2,129.0,236.0,334.02000000000044,6.413828213628583,4800,4800,0,1,1345
